stasiun
BLJI
BWJI
BYJI
CBJI
CMJI
CNJI
CTJI
DBJI
GRJI
JCJI
KMMI
MLJI
NGJI
PCJI
PWJI
SCJI
SKJI
SWJI
TBJI
WOJI
BAJI
BKJI
BOJI
BPJI
BTJI
BUJI
CIJI
CSJI
GBJI
GEJI
GGJI
JBJI
JPJI
KLJI
KWJI
LUJI
PBJI
PKJI
PLJI
PRJI
SEJI
TOJI
TUJI
WRJI
ACJM
BBJM
CBJM
CCJM
CIJM
CSJM
GGJM
GUJM
JBJM
JWJM
KBJM
KPJM
MKJM
MLJM
PCJM
PKJM
SCJM
SEJM
SIJM
SSJM
TSJM
WGJM
WSJM
BBJI
JAGI
SMRI
MBJI
PPJI
SNJI
LEM
32.13.MR.37
35.28.MR.47
